YR,COflows,COinflows
1299,15839933,0
1300,13552663,0
1301,18326013,0
1302,18742542,0
1303,17788972,0
1304,15050913,0
1305,16296579,0
1306,12378133,0
1307,3712901,0
1308,13266817,0
1309,21127571,0
1310,21618098,0
1311,14386468,0
1312,17658884,0
1313,20407377,0
1314,17005754,0
1315,14328518,0
1316,5102211,0
1317,8799648,0
1318,14004764,0
1319,16582590,0
1320,18194366,0
1321,17209391,0
1322,11836432,0
1323,7793270,0
1324,14598327,0
1325,21591004,0
1326,23865802,0
1327,16579578,0
1328,11207847,0
1329,9575798,0
1330,22225789,0
1331,20987808,0
1332,20202701,0
1333,21775496,0
1334,15405540,0
1335,12418460,0
1336,12680033,0
1337,17215804,0
1338,12876360,0
1339,14950363,0
1340,12365834,0
1341,14358691,0
1342,16120451,0
1343,14603560,0
1344,17987232,0
1345,15635854,0
1346,14186763,0
1347,13950740,0
1348,13113031,0
1349,12248106,0
1350,7970750,0
1351,15211748,0
1352,15523565,0
1353,21207658,0
1354,18823109,0
1355,12882860,0
1356,19800030,0
1357,21604115,0
1358,17592360,0
1359,13056011,0
1360,7318534,0
1361,10156193,0
1362,10851175,0
1363,13886320,0
1364,12324604,0
1365,16495946,0
1366,18607275,0
1367,17815591,0
1368,19540706,0
1369,15433793,0
1370,17101200,0
1371,18014438,0
1372,18194576,0
1373,16429353,0
1374,15543774,0
1375,10498553,0
1376,10884553,0
1377,17768988,0
1378,17871956,0
1379,13840694,0
1380,18134522,0
1381,13492932,0
1382,16829761,0
1383,19662202,0
1384,17265645,0
1385,16153308,0
1386,15097215,0
1387,16541885,0
1388,13663852,0
1389,7427148,0
1390,11406848,0
1391,13912521,0
1392,13237576,0
1393,14916081,0
1394,16879922,0
1395,16513194,0
1396,16131018,0
1397,9878540,0
1398,11453117,0
1399,8224677,0
1400,12879594,0
1401,17480152,0
1402,12147877,0
1403,13939979,0
1404,17626178,0
1405,13852027,0
1406,15457714,0
1407,14365637,0
1408,16534711,0
1409,20376154,0
1410,14908050,0
1411,12296524,0
1412,17343862,0
1413,10828995,0
1414,19787402,0
1415,10096401,0
1416,10031229,0
1417,13297674,0
1418,13882106,0
1419,13948958,0
1420,14891320,0
1421,11443167,0
1422,15835044,0
1423,13964155,0
1424,13325686,0
1425,11082957,0
1426,17540002,0
1427,15340520,0
1428,14441535,0
1429,16564995,0
1430,17615716,0
1431,18976166,0
1432,16942650,0
1433,14532326,0
1434,15845391,0
1435,15131373,0
1436,16307562,0
1437,13467976,0
1438,10794470,0
1439,10550095,0
1440,18047489,0
1441,20185319,0
1442,10059045,0
1443,14425095,0
1444,13009182,0
1445,9959633,0
1446,11423783,0
1447,16162945,0
1448,14371959,0
1449,14508034,0
1450,9411372,0
1451,18128897,0
1452,16923112,0
1453,14302778,0
1454,9356632,0
1455,7072318,0
1456,12251861,0
1457,14982642,0
1458,16578918,0
1459,13544539,0
1460,7503510,0
1461,10308124,0
1462,19448273,0
1463,17612606,0
1464,13449700,0
1465,9215321,0
1466,17480483,0
1467,21433236,0
1468,18229745,0
1469,15152509,0
1470,14233471,0
1471,9887768,0
1472,9722365,0
1473,11766665,0
1474,13636421,0
1475,11738936,0
1476,17789630,0
1477,18911340,0
1478,16938101,0
1479,13141894,0
1480,11076401,0
1481,14397519,0
1482,18072585,0
1483,16337517,0
1484,23474994,0
1485,19215991,0
1486,17466079,0
1487,15128190,0
1488,15265868,0
1489,19157418,0
1490,19985431,0
1491,20594059,0
1492,14641397,0
1493,13439659,0
1494,17072805,0
1495,7603949,0
1496,5916445,0
1497,14971029,0
1498,19296230,0
1499,9879429,0
1500,6606660,0
1501,11685536,0
1502,15732297,0
1503,14836480,0
1504,15214217,0
1505,9422774,0
1506,6278161,0
1507,12858541,0
1508,16830423,0
1509,18751510,0
1510,11740251,0
1511,15912264,0
1512,16032679,0
1513,16094805,0
1514,19109696,0
1515,11754489,0
1516,10435022,0
1517,15071168,0
1518,13227347,0
1519,16054656,0
1520,15001701,0
1521,19936479,0
1522,12386280,0
1523,18078110,0
1524,16390922,0
1525,15102833,0
